
#The following shows the html-tag count of u01_A0.xml:
Character	"	=> 99073
Character	&	=> 419
Character	'	=> 492
Character	(	=> 14538
Character	)	=> 14538
Character	*	=> 465
Character	,	=> 32266
Character	-	=> 6244
Character	.	=> 18092
Character	/	=> 39949
Character	0	=> 752
Character	1	=> 1918
Character	2	=> 4349
Character	3	=> 1431
Character	4	=> 1324
Character	5	=> 1930
Character	6	=> 1632
Character	7	=> 788
Character	8	=> 775
Character	9	=> 708
Character	:	=> 8668
Character	;	=> 6144
Character	<	=> 77373
Character	=	=> 49533
Character	>	=> 77373
Character	?	=> 51
Character	@	=> 109
Character	A	=> 10689
Character	B	=> 575
Character	C	=> 212
Character	D	=> 171
Character	E	=> 410
Character	F	=> 4592
Character	G	=> 223
Character	H	=> 2014
Character	I	=> 1584
Character	J	=> 206
Character	K	=> 5840
Character	L	=> 1389
Character	M	=> 3248
Character	N	=> 279
Character	O	=> 344
Character	P	=> 135
Character	Q	=> 114
Character	R	=> 164
Character	S	=> 4995
Character	T	=> 6509
Character	U	=> 22
Character	V	=> 55
Character	W	=> 151
Character	Y	=> 348
Character	Z	=> 176
Character	[	=> 4157
Character	]	=> 4157
Character	^	=> 4
Character	a	=> 101835
Character	b	=> 12354
Character	c	=> 17337
Character	d	=> 43696
Character	e	=> 143989
Character	f	=> 46127
Character	g	=> 53210
Character	h	=> 73233
Character	i	=> 125352
Character	j	=> 497
Character	k	=> 5307
Character	l	=> 60244
Character	m	=> 24769
Character	n	=> 117418
Character	o	=> 92599
Character	p	=> 18766
Character	q	=> 942
Character	r	=> 120953
Character	s	=> 47604
Character	t	=> 91452
Character	u	=> 17855
Character	v	=> 4633
Character	w	=> 10824
Character	x	=> 3186
Character	y	=> 19556
Character	z	=> 305
Character	Á	=> 9
Character	à	=> 52
Character	á	=> 395
Character	ä	=> 1
Character	æ	=> 3
Character	è	=> 9
Character	é	=> 4
Character	ê	=> 1
Character	í	=> 5
Character	ï	=> 11
Character	ó	=> 2
Character	œ	=> 12
Character	ά	=> 1
Character	α	=> 4
Character	β	=> 1
Character	γ	=> 4
Character	ζ	=> 1
Character	η	=> 1
Character	θ	=> 1
Character	ι	=> 1
Character	λ	=> 2
Character	μ	=> 1
Character	ν	=> 2
Character	ο	=> 2
Character	ء	=> 710
Character	آ	=> 552
Character	أ	=> 1967
Character	ؤ	=> 94
Character	إ	=> 426
Character	ئ	=> 356
Character	ا	=> 10507
Character	ب	=> 4244
Character	ة	=> 2930
Character	ت	=> 2641
Character	ث	=> 528
Character	ج	=> 14498
Character	ح	=> 1645
Character	خ	=> 408
Character	د	=> 3330
Character	ذ	=> 1185
Character	ر	=> 5522
Character	ز	=> 1498
Character	س	=> 1619
Character	ش	=> 1007
Character	ص	=> 451
Character	ض	=> 441
Character	ط	=> 363
Character	ظ	=> 143
Character	ع	=> 2706
Character	غ	=> 170
Character	ف	=> 2492
Character	ق	=> 1152
Character	ك	=> 886
Character	ل	=> 7826
Character	م	=> 6059
Character	ن	=> 4231
Character	ه	=> 3291
Character	و	=> 3392
Character	ى	=> 1634
Character	ي	=> 3146
Character	ً	=> 525
Character	ٌ	=> 7679
Character	ٍ	=> 423
Character	َ	=> 31263
Character	ُ	=> 8940
Character	ِ	=> 9633
Character	ّ	=> 4271
Character	ْ	=> 8542
Character	ٰ	=> 147
Character	پ	=> 3
Character	چ	=> 9
Character	ڤ	=> 2
Character	گ	=> 21
Character	ὸ	=> 2
Character	—	=> 3
Character	―	=> 1781
Character	‘	=> 3
Character	’	=> 1
Character	“	=> 170
Character	”	=> 168
Character	↓	=> 1775
Character	�	=> 5
Total:	2247040


#The following shows the html-tag count of u06_H0.xml:
</H>	=> 2
</L>	=> 178
</TEI.2>	=> 1
</body>	=> 1
</div1>	=> 1
</div2>	=> 246
</entryFree>	=> 3173
</foreign>	=> 18568
</form>	=> 3690
</head>	=> 246
</hi>	=> 24591
</itype>	=> 877
</orth>	=> 6408
</quote>	=> 111
</text>	=> 1
<?xml>	=> 1
<H>	=> 2
<L>	=> 178
<TEI.2>	=> 1
<body>	=> 1
<div1>	=> 1
<div2>	=> 246
<entryFree>	=> 3173
<foreign>	=> 18568
<form>	=> 3690
<head>	=> 246
<hi>	=> 24591
<itype>	=> 877
<milestone>	=> 3518
<orth>	=> 6409
<pb>	=> 196
<quote>	=> 111
<text>	=> 1

#The following shows the character count of u06_H0.xml:
Character	NL	=> 51864
Character	SP	=> 426241
Character	!	=> 45
Character	"	=> 152976
Character	&	=> 745
Character	'	=> 817
Character	(	=> 21805
Character	)	=> 21813
Character	*	=> 703
Character	,	=> 48799
Character	-	=> 8975
Character	.	=> 28388
Character	/	=> 61810
Character	0	=> 1123
Character	1	=> 2908
Character	2	=> 6377
Character	3	=> 2125
Character	4	=> 1697
Character	5	=> 1517
Character	6	=> 1503
Character	7	=> 2159
Character	8	=> 2224
Character	9	=> 1898
Character	:	=> 14047
Character	;	=> 9265
Character	<	=> 119904
Character	=	=> 76500
Character	>	=> 119904
Character	?	=> 97
Character	@	=> 239
Character	A	=> 15910
Character	B	=> 939
Character	C	=> 314
Character	D	=> 253
Character	E	=> 559
